,date,time,origin,origin_name,origin_lon,origin_lat,destination,dest_name,dest_lon,dest_lat,total_count,key,driving,public,ratio,difference,popup
7933,2/2/18,9:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,551,HGPL,11,54,4.91,43,hougang > paya lebar: 551
8004,2/2/18,9:00:00,HG,HOUGANG,103.8898,1.36364,AM,ANG MO KIO,103.8421,1.38009,683,HGAM,15,49,3.27,34,hougang > ang mo kio: 683
8106,2/2/18,9:00:00,HG,HOUGANG,103.8898,1.36364,TM,TAMPINES,103.95422,1.34373,528,HGTM,17,57,3.35,40,hougang > tampines: 528
9200,2/2/18,9:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,514,JWBK,17,57,3.35,40,jurong west > bukit batok: 514
9316,2/2/18,9:00:00,JW,JURONG WEST,103.70487,1.3416,PN,PIONEER,103.67299,1.31259,549,JWPN,21,54,2.57,33,jurong west > pioneer: 549
9359,2/2/18,9:00:00,JW,JURONG WEST,103.70487,1.3416,QT,QUEENSTOWN,103.78434,1.28916,927,JWQT,16,48,3,32,jurong west > queenstown: 927
10132,2/2/18,9:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,501,KLTP,10,43,4.3,33,kallang > toa payoh: 501
13661,2/2/18,9:00:00,PG,PUNGGOL,103.91004,1.40536,TM,TAMPINES,103.95422,1.34373,516,PGTM,12,46,3.83,34,punggol > tampines: 516
13727,2/2/18,9:00:00,PG,PUNGGOL,103.91004,1.40536,DT,DOWNTOWN CORE,103.8543,1.28508,510,PGDT,20,57,2.85,37,punggol > downtown core: 510
14017,2/2/18,9:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,560,PLHG,9,53,5.89,44,paya lebar > hougang: 560
14242,2/2/18,9:00:00,PN,PIONEER,103.67299,1.31259,TS,TUAS,103.63072,1.28389,558,PNTS,29,99,3.41,70,pioneer > tuas: 558
14548,2/2/18,9:00:00,PR,PASIR RIS,103.9483,1.37862,CH,CHANGI,103.99782,1.35081,568,PRCH,6,50,8.33,44,pasir ris > changi: 568
17364,2/2/18,9:00:00,SE,SENGKANG,103.8877,1.39127,TM,TAMPINES,103.95422,1.34373,582,SETM,17,55,3.24,38,sengkang > tampines: 582
17907,2/2/18,9:00:00,SG,SERANGOON,103.86782,1.3652,DT,DOWNTOWN CORE,103.8543,1.28508,811,SGDT,15,50,3.33,35,serangoon > downtown core: 811
19550,2/2/18,9:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,826,TMCH,10,56,5.6,46,tampines > changi: 826
19704,2/2/18,9:00:00,TM,TAMPINES,103.95422,1.34373,BM,BUKIT MERAH,103.82311,1.27548,531,TMBM,19,60,3.16,41,tampines > bukit merah: 531
20339,2/2/18,9:00:00,TN,TANGLIN,103.8175,1.30828,DT,DOWNTOWN CORE,103.8543,1.28508,745,TNDT,14,45,3.21,31,tanglin > downtown core: 745
20732,2/2/18,9:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,838,TPGL,12,46,3.83,34,toa payoh > geylang: 838
1502,2/2/18,10:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,509,BKJW,21,71,3.38,50,bukit batok > jurong west: 509
4900,2/2/18,10:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,541,CHTM,6,38,6.33,32,changi > tampines: 541
7309,2/2/18,10:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,667,GLTP,12,48,4,36,geylang > toa payoh: 667
7886,2/2/18,10:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,599,HGBD,19,52,2.74,33,hougang > bedok: 599
7934,2/2/18,10:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,606,HGPL,11,54,4.91,43,hougang > paya lebar: 606
8005,2/2/18,10:00:00,HG,HOUGANG,103.8898,1.36364,AM,ANG MO KIO,103.8421,1.38009,572,HGAM,15,49,3.27,34,hougang > ang mo kio: 572
9201,2/2/18,10:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,568,JWBK,17,57,3.35,40,jurong west > bukit batok: 568
9360,2/2/18,10:00:00,JW,JURONG WEST,103.70487,1.3416,QT,QUEENSTOWN,103.78434,1.28916,575,JWQT,16,48,3,32,jurong west > queenstown: 575
10133,2/2/18,10:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,527,KLTP,10,43,4.3,33,kallang > toa payoh: 527
14018,2/2/18,10:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,593,PLHG,9,53,5.89,44,paya lebar > hougang: 593
14243,2/2/18,10:00:00,PN,PIONEER,103.67299,1.31259,TS,TUAS,103.63072,1.28389,535,PNTS,29,99,3.41,70,pioneer > tuas: 535
19551,2/2/18,10:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,590,TMCH,10,56,5.6,46,tampines > changi: 590
20733,2/2/18,10:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,748,TPGL,12,46,3.83,34,toa payoh > geylang: 748
21388,2/2/18,10:00:00,TS,TUAS,103.63072,1.28389,PN,PIONEER,103.67299,1.31259,520,TSPN,30,95,3.17,65,tuas > pioneer: 520
739,2/2/18,11:00:00,BD,BEDOK,103.92841,1.32405,HG,HOUGANG,103.8898,1.36364,532,BDHG,18,49,2.72,31,bedok > hougang: 532
1503,2/2/18,11:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,552,BKJW,21,71,3.38,50,bukit batok > jurong west: 552
2051,2/2/18,11:00:00,BL,BOON LAY,103.70223,1.3148,PN,PIONEER,103.67299,1.31259,536,BLPN,16,69,4.31,53,boon lay > pioneer: 536
4901,2/2/18,11:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,759,CHTM,6,38,6.33,32,changi > tampines: 759
7310,2/2/18,11:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,817,GLTP,12,48,4,36,geylang > toa payoh: 817
7935,2/2/18,11:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,614,HGPL,11,54,4.91,43,hougang > paya lebar: 614
8006,2/2/18,11:00:00,HG,HOUGANG,103.8898,1.36364,AM,ANG MO KIO,103.8421,1.38009,558,HGAM,15,49,3.27,34,hougang > ang mo kio: 558
9202,2/2/18,11:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,545,JWBK,17,57,3.35,40,jurong west > bukit batok: 545
9361,2/2/18,11:00:00,JW,JURONG WEST,103.70487,1.3416,QT,QUEENSTOWN,103.78434,1.28916,545,JWQT,16,48,3,32,jurong west > queenstown: 545
10134,2/2/18,11:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,621,KLTP,10,43,4.3,33,kallang > toa payoh: 621
14019,2/2/18,11:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,714,PLHG,9,53,5.89,44,paya lebar > hougang: 714
14244,2/2/18,11:00:00,PN,PIONEER,103.67299,1.31259,TS,TUAS,103.63072,1.28389,670,PNTS,29,99,3.41,70,pioneer > tuas: 670
14302,2/2/18,11:00:00,PN,PIONEER,103.67299,1.31259,BL,BOON LAY,103.70223,1.3148,520,PNBL,18,73,4.06,55,pioneer > boon lay: 520
14550,2/2/18,11:00:00,PR,PASIR RIS,103.9483,1.37862,CH,CHANGI,103.99782,1.35081,547,PRCH,6,50,8.33,44,pasir ris > changi: 547
15117,2/2/18,11:00:00,QT,QUEENSTOWN,103.78434,1.28916,TN,TANGLIN,103.8175,1.30828,556,QTTN,12,44,3.67,32,queenstown > tanglin: 556
19552,2/2/18,11:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,944,TMCH,10,56,5.6,46,tampines > changi: 944
20734,2/2/18,11:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,779,TPGL,12,46,3.83,34,toa payoh > geylang: 779
21367,2/2/18,11:00:00,TS,TUAS,103.63072,1.28389,JW,JURONG WEST,103.70487,1.3416,518,TSJW,22,66,3,44,tuas > jurong west: 518
21389,2/2/18,11:00:00,TS,TUAS,103.63072,1.28389,PN,PIONEER,103.67299,1.31259,917,TSPN,30,95,3.17,65,tuas > pioneer: 917
36,2/2/18,12:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,570,AMHG,14,47,3.36,33,ang mo kio > hougang: 570
58,2/2/18,12:00:00,AM,ANG MO KIO,103.8421,1.38009,SE,SENGKANG,103.8877,1.39127,520,AMSE,17,52,3.06,35,ang mo kio > sengkang: 520
692,2/2/18,12:00:00,BD,BEDOK,103.92841,1.32405,CH,CHANGI,103.99782,1.35081,509,BDCH,10,56,5.6,46,bedok > changi: 509
740,2/2/18,12:00:00,BD,BEDOK,103.92841,1.32405,HG,HOUGANG,103.8898,1.36364,536,BDHG,18,49,2.72,31,bedok > hougang: 536
1504,2/2/18,12:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,506,BKJW,21,71,3.38,50,bukit batok > jurong west: 506
2052,2/2/18,12:00:00,BL,BOON LAY,103.70223,1.3148,PN,PIONEER,103.67299,1.31259,527,BLPN,16,69,4.31,53,boon lay > pioneer: 527
4902,2/2/18,12:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,923,CHTM,6,38,6.33,32,changi > tampines: 923
7311,2/2/18,12:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,902,GLTP,12,48,4,36,geylang > toa payoh: 902
7888,2/2/18,12:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,524,HGBD,19,52,2.74,33,hougang > bedok: 524
7936,2/2/18,12:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,644,HGPL,11,54,4.91,43,hougang > paya lebar: 644
8007,2/2/18,12:00:00,HG,HOUGANG,103.8898,1.36364,AM,ANG MO KIO,103.8421,1.38009,510,HGAM,15,49,3.27,34,hougang > ang mo kio: 510
9203,2/2/18,12:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,533,JWBK,17,57,3.35,40,jurong west > bukit batok: 533
9319,2/2/18,12:00:00,JW,JURONG WEST,103.70487,1.3416,PN,PIONEER,103.67299,1.31259,871,JWPN,21,54,2.57,33,jurong west > pioneer: 871
10135,2/2/18,12:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,655,KLTP,10,43,4.3,33,kallang > toa payoh: 655
14020,2/2/18,12:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,716,PLHG,9,53,5.89,44,paya lebar > hougang: 716
14245,2/2/18,12:00:00,PN,PIONEER,103.67299,1.31259,TS,TUAS,103.63072,1.28389,797,PNTS,29,99,3.41,70,pioneer > tuas: 797
14303,2/2/18,12:00:00,PN,PIONEER,103.67299,1.31259,BL,BOON LAY,103.70223,1.3148,547,PNBL,18,73,4.06,55,pioneer > boon lay: 547
14551,2/2/18,12:00:00,PR,PASIR RIS,103.9483,1.37862,CH,CHANGI,103.99782,1.35081,721,PRCH,6,50,8.33,44,pasir ris > changi: 721
15118,2/2/18,12:00:00,QT,QUEENSTOWN,103.78434,1.28916,TN,TANGLIN,103.8175,1.30828,544,QTTN,12,44,3.67,32,queenstown > tanglin: 544
19553,2/2/18,12:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,1100,TMCH,10,56,5.6,46,tampines > changi: 1100
20290,2/2/18,12:00:00,TN,TANGLIN,103.8175,1.30828,BM,BUKIT MERAH,103.82311,1.27548,514,TNBM,10,51,5.1,41,tanglin > bukit merah: 514
20735,2/2/18,12:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,802,TPGL,12,46,3.83,34,toa payoh > geylang: 802
21368,2/2/18,12:00:00,TS,TUAS,103.63072,1.28389,JW,JURONG WEST,103.70487,1.3416,626,TSJW,22,66,3,44,tuas > jurong west: 626
21390,2/2/18,12:00:00,TS,TUAS,103.63072,1.28389,PN,PIONEER,103.67299,1.31259,749,TSPN,30,95,3.17,65,tuas > pioneer: 749
37,2/2/18,13:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,666,AMHG,14,47,3.36,33,ang mo kio > hougang: 666
693,2/2/18,13:00:00,BD,BEDOK,103.92841,1.32405,CH,CHANGI,103.99782,1.35081,543,BDCH,10,56,5.6,46,bedok > changi: 543
741,2/2/18,13:00:00,BD,BEDOK,103.92841,1.32405,HG,HOUGANG,103.8898,1.36364,559,BDHG,18,49,2.72,31,bedok > hougang: 559
1505,2/2/18,13:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,535,BKJW,21,71,3.38,50,bukit batok > jurong west: 535
4903,2/2/18,13:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,1080,CHTM,6,38,6.33,32,changi > tampines: 1080
7312,2/2/18,13:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,855,GLTP,12,48,4,36,geylang > toa payoh: 855
7889,2/2/18,13:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,537,HGBD,19,52,2.74,33,hougang > bedok: 537
7937,2/2/18,13:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,806,HGPL,11,54,4.91,43,hougang > paya lebar: 806
8008,2/2/18,13:00:00,HG,HOUGANG,103.8898,1.36364,AM,ANG MO KIO,103.8421,1.38009,576,HGAM,15,49,3.27,34,hougang > ang mo kio: 576
9204,2/2/18,13:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,549,JWBK,17,57,3.35,40,jurong west > bukit batok: 549
9320,2/2/18,13:00:00,JW,JURONG WEST,103.70487,1.3416,PN,PIONEER,103.67299,1.31259,1187,JWPN,21,54,2.57,33,jurong west > pioneer: 1187
9342,2/2/18,13:00:00,JW,JURONG WEST,103.70487,1.3416,TS,TUAS,103.63072,1.28389,659,JWTS,20,60,3,40,jurong west > tuas: 659
9363,2/2/18,13:00:00,JW,JURONG WEST,103.70487,1.3416,QT,QUEENSTOWN,103.78434,1.28916,510,JWQT,16,48,3,32,jurong west > queenstown: 510
10136,2/2/18,13:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,709,KLTP,10,43,4.3,33,kallang > toa payoh: 709
14021,2/2/18,13:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,590,PLHG,9,53,5.89,44,paya lebar > hougang: 590
14246,2/2/18,13:00:00,PN,PIONEER,103.67299,1.31259,TS,TUAS,103.63072,1.28389,1027,PNTS,29,99,3.41,70,pioneer > tuas: 1027
14552,2/2/18,13:00:00,PR,PASIR RIS,103.9483,1.37862,CH,CHANGI,103.99782,1.35081,957,PRCH,6,50,8.33,44,pasir ris > changi: 957
15119,2/2/18,13:00:00,QT,QUEENSTOWN,103.78434,1.28916,TN,TANGLIN,103.8175,1.30828,525,QTTN,12,44,3.67,32,queenstown > tanglin: 525
19554,2/2/18,13:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,1062,TMCH,10,56,5.6,46,tampines > changi: 1062
20736,2/2/18,13:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,990,TPGL,12,46,3.83,34,toa payoh > geylang: 990
21391,2/2/18,13:00:00,TS,TUAS,103.63072,1.28389,PN,PIONEER,103.67299,1.31259,648,TSPN,30,95,3.17,65,tuas > pioneer: 648
38,2/2/18,14:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,730,AMHG,14,47,3.36,33,ang mo kio > hougang: 730
1506,2/2/18,14:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,521,BKJW,21,71,3.38,50,bukit batok > jurong west: 521
4904,2/2/18,14:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,937,CHTM,6,38,6.33,32,changi > tampines: 937
7313,2/2/18,14:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,636,GLTP,12,48,4,36,geylang > toa payoh: 636
7890,2/2/18,14:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,589,HGBD,19,52,2.74,33,hougang > bedok: 589
7938,2/2/18,14:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,537,HGPL,11,54,4.91,43,hougang > paya lebar: 537
9205,2/2/18,14:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,656,JWBK,17,57,3.35,40,jurong west > bukit batok: 656
9321,2/2/18,14:00:00,JW,JURONG WEST,103.70487,1.3416,PN,PIONEER,103.67299,1.31259,599,JWPN,21,54,2.57,33,jurong west > pioneer: 599
9364,2/2/18,14:00:00,JW,JURONG WEST,103.70487,1.3416,QT,QUEENSTOWN,103.78434,1.28916,501,JWQT,16,48,3,32,jurong west > queenstown: 501
10137,2/2/18,14:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,682,KLTP,10,43,4.3,33,kallang > toa payoh: 682
14022,2/2/18,14:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,552,PLHG,9,53,5.89,44,paya lebar > hougang: 552
14247,2/2/18,14:00:00,PN,PIONEER,103.67299,1.31259,TS,TUAS,103.63072,1.28389,637,PNTS,29,99,3.41,70,pioneer > tuas: 637
14553,2/2/18,14:00:00,PR,PASIR RIS,103.9483,1.37862,CH,CHANGI,103.99782,1.35081,622,PRCH,6,50,8.33,44,pasir ris > changi: 622
15120,2/2/18,14:00:00,QT,QUEENSTOWN,103.78434,1.28916,TN,TANGLIN,103.8175,1.30828,520,QTTN,12,44,3.67,32,queenstown > tanglin: 520
19555,2/2/18,14:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,963,TMCH,10,56,5.6,46,tampines > changi: 963
20344,2/2/18,14:00:00,TN,TANGLIN,103.8175,1.30828,DT,DOWNTOWN CORE,103.8543,1.28508,517,TNDT,14,45,3.21,31,tanglin > downtown core: 517
20737,2/2/18,14:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,751,TPGL,12,46,3.83,34,toa payoh > geylang: 751
21370,2/2/18,14:00:00,TS,TUAS,103.63072,1.28389,JW,JURONG WEST,103.70487,1.3416,554,TSJW,22,66,3,44,tuas > jurong west: 554
21392,2/2/18,14:00:00,TS,TUAS,103.63072,1.28389,PN,PIONEER,103.67299,1.31259,517,TSPN,30,95,3.17,65,tuas > pioneer: 517
39,2/2/18,15:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,671,AMHG,14,47,3.36,33,ang mo kio > hougang: 671
61,2/2/18,15:00:00,AM,ANG MO KIO,103.8421,1.38009,SE,SENGKANG,103.8877,1.39127,556,AMSE,17,52,3.06,35,ang mo kio > sengkang: 556
743,2/2/18,15:00:00,BD,BEDOK,103.92841,1.32405,HG,HOUGANG,103.8898,1.36364,660,BDHG,18,49,2.72,31,bedok > hougang: 660
1507,2/2/18,15:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,694,BKJW,21,71,3.38,50,bukit batok > jurong west: 694
4680,2/2/18,15:00:00,CH,CHANGI,103.99782,1.35081,BD,BEDOK,103.92841,1.32405,632,CHBD,12,46,3.83,34,changi > bedok: 632
4905,2/2/18,15:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,980,CHTM,6,38,6.33,32,changi > tampines: 980
7314,2/2/18,15:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,683,GLTP,12,48,4,36,geylang > toa payoh: 683
7891,2/2/18,15:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,504,HGBD,19,52,2.74,33,hougang > bedok: 504
7939,2/2/18,15:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,579,HGPL,11,54,4.91,43,hougang > paya lebar: 579
8010,2/2/18,15:00:00,HG,HOUGANG,103.8898,1.36364,AM,ANG MO KIO,103.8421,1.38009,514,HGAM,15,49,3.27,34,hougang > ang mo kio: 514
9206,2/2/18,15:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,586,JWBK,17,57,3.35,40,jurong west > bukit batok: 586
10138,2/2/18,15:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,632,KLTP,10,43,4.3,33,kallang > toa payoh: 632
14023,2/2/18,15:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,571,PLHG,9,53,5.89,44,paya lebar > hougang: 571
14248,2/2/18,15:00:00,PN,PIONEER,103.67299,1.31259,TS,TUAS,103.63072,1.28389,602,PNTS,29,99,3.41,70,pioneer > tuas: 602
14554,2/2/18,15:00:00,PR,PASIR RIS,103.9483,1.37862,CH,CHANGI,103.99782,1.35081,505,PRCH,6,50,8.33,44,pasir ris > changi: 505
15121,2/2/18,15:00:00,QT,QUEENSTOWN,103.78434,1.28916,TN,TANGLIN,103.8175,1.30828,603,QTTN,12,44,3.67,32,queenstown > tanglin: 603
19556,2/2/18,15:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,694,TMCH,10,56,5.6,46,tampines > changi: 694
20738,2/2/18,15:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,691,TPGL,12,46,3.83,34,toa payoh > geylang: 691
21371,2/2/18,15:00:00,TS,TUAS,103.63072,1.28389,JW,JURONG WEST,103.70487,1.3416,819,TSJW,22,66,3,44,tuas > jurong west: 819
21393,2/2/18,15:00:00,TS,TUAS,103.63072,1.28389,PN,PIONEER,103.67299,1.31259,505,TSPN,30,95,3.17,65,tuas > pioneer: 505
40,2/2/18,16:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,768,AMHG,14,47,3.36,33,ang mo kio > hougang: 768
62,2/2/18,16:00:00,AM,ANG MO KIO,103.8421,1.38009,SE,SENGKANG,103.8877,1.39127,656,AMSE,17,52,3.06,35,ang mo kio > sengkang: 656
744,2/2/18,16:00:00,BD,BEDOK,103.92841,1.32405,HG,HOUGANG,103.8898,1.36364,643,BDHG,18,49,2.72,31,bedok > hougang: 643
1508,2/2/18,16:00:00,BK,BUKIT BATOK,103.75474,1.35565,JW,JURONG WEST,103.70487,1.3416,693,BKJW,21,71,3.38,50,bukit batok > jurong west: 693
2597,2/2/18,16:00:00,BM,BUKIT MERAH,103.82311,1.27548,TM,TAMPINES,103.95422,1.34373,532,BMTM,20,62,3.1,42,bukit merah > tampines: 532
4681,2/2/18,16:00:00,CH,CHANGI,103.99782,1.35081,BD,BEDOK,103.92841,1.32405,765,CHBD,12,46,3.83,34,changi > bedok: 765
4906,2/2/18,16:00:00,CH,CHANGI,103.99782,1.35081,TM,TAMPINES,103.95422,1.34373,1250,CHTM,6,38,6.33,32,changi > tampines: 1250
7315,2/2/18,16:00:00,GL,GEYLANG,103.88953,1.3209,TP,TOA PAYOH,103.86106,1.33668,760,GLTP,12,48,4,36,geylang > toa payoh: 760
7892,2/2/18,16:00:00,HG,HOUGANG,103.8898,1.36364,BD,BEDOK,103.92841,1.32405,586,HGBD,19,52,2.74,33,hougang > bedok: 586
7940,2/2/18,16:00:00,HG,HOUGANG,103.8898,1.36364,PL,PAYA LEBAR,103.91477,1.35939,579,HGPL,11,54,4.91,43,hougang > paya lebar: 579
8011,2/2/18,16:00:00,HG,HOUGANG,103.8898,1.36364,AM,ANG MO KIO,103.8421,1.38009,531,HGAM,15,49,3.27,34,hougang > ang mo kio: 531
9207,2/2/18,16:00:00,JW,JURONG WEST,103.70487,1.3416,BK,BUKIT BATOK,103.75474,1.35565,813,JWBK,17,57,3.35,40,jurong west > bukit batok: 813
10139,2/2/18,16:00:00,KL,KALLANG,103.86643,1.31033,TP,TOA PAYOH,103.86106,1.33668,687,KLTP,10,43,4.3,33,kallang > toa payoh: 687
14024,2/2/18,16:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,548,PLHG,9,53,5.89,44,paya lebar > hougang: 548
14249,2/2/18,16:00:00,PN,PIONEER,103.67299,1.31259,TS,TUAS,103.63072,1.28389,949,PNTS,29,99,3.41,70,pioneer > tuas: 949
15122,2/2/18,16:00:00,QT,QUEENSTOWN,103.78434,1.28916,TN,TANGLIN,103.8175,1.30828,591,QTTN,12,44,3.67,32,queenstown > tanglin: 591
15182,2/2/18,16:00:00,QT,QUEENSTOWN,103.78434,1.28916,BD,BEDOK,103.92841,1.32405,621,QTBD,23,58,2.52,35,queenstown > bedok: 621
15438,2/2/18,16:00:00,QT,QUEENSTOWN,103.78434,1.28916,CK,CHOA CHU KANG,103.74719,1.38555,536,QTCK,20,52,2.6,32,queenstown > choa chu kang: 536
15633,2/2/18,16:00:00,QT,QUEENSTOWN,103.78434,1.28916,WD,WOODLANDS,103.78771,1.44068,567,QTWD,23,66,2.87,43,queenstown > woodlands: 567
19557,2/2/18,16:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,575,TMCH,10,56,5.6,46,tampines > changi: 575
19603,2/2/18,16:00:00,TM,TAMPINES,103.95422,1.34373,HG,HOUGANG,103.8898,1.36364,563,TMHG,18,55,3.06,37,tampines > hougang: 563
19671,2/2/18,16:00:00,TM,TAMPINES,103.95422,1.34373,SE,SENGKANG,103.8877,1.39127,582,TMSE,20,62,3.1,42,tampines > sengkang: 582
19924,2/2/18,16:00:00,TM,TAMPINES,103.95422,1.34373,PG,PUNGGOL,103.91004,1.40536,504,TMPG,18,56,3.11,38,tampines > punggol: 504
20739,2/2/18,16:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,771,TPGL,12,46,3.83,34,toa payoh > geylang: 771
21372,2/2/18,16:00:00,TS,TUAS,103.63072,1.28389,JW,JURONG WEST,103.70487,1.3416,1814,TSJW,22,66,3,44,tuas > jurong west: 1814
21394,2/2/18,16:00:00,TS,TUAS,103.63072,1.28389,PN,PIONEER,103.67299,1.31259,527,TSPN,30,95,3.17,65,tuas > pioneer: 527
21502,2/2/18,16:00:00,TS,TUAS,103.63072,1.28389,JE,JURONG EAST,103.73479,1.32044,691,TSJE,25,69,2.76,44,tuas > jurong east: 691
21742,2/2/18,16:00:00,TS,TUAS,103.63072,1.28389,CK,CHOA CHU KANG,103.74719,1.38555,512,TSCK,27,86,3.19,59,tuas > choa chu kang: 512
